id,text,gemma4,maverick,consensus,n_models,n_agree,unanimous,flag
A00098-04,government tuition need tuition is is training city schools graduation curriculum funding oppose believe training enrollment scholarships tutoring universities schools classrooms tuition need literacy scholarships and students of students is council funding tuition universities of public universities curriculum our of funding tuition people enrollment more need libraries scholarships curriculum for literacy council enrollment city.,favor,oppose,favor,2,1,FALSE,TRUE
A00098-05,care prevention sanitation oppose wellness government city screening oppose treatment the outbreak outbreak must screening disease policy of immunization treatment wellness think insurance prevention need is clinic insurance insurance prevention support not our pandemic nurses outbreak care nurses must less epidemic immunization clinic the nurses disease care insurance council hospital epidemic council pandemic treatment mortality prevention insurance clinic community we treatment mortality to patients we of policy mortality council.,neutral,favor,favor,2,1,FALSE,TRUE
A00098-06,teachers universities students tuition issue government believe for tutoring teachers is curriculum think teachers government teachers tuition government literacy less our enrollment literacy for literacy tuition funding libraries classrooms funding city tutoring training not teachers teachers libraries teachers universities classrooms people graduation is literacy concern our for tuition classrooms curriculum less support tutoring that testing policy classrooms training enrollment graduation funding training teachers tuition more less believe scholarships more testing classrooms teachers universities concern teachers is classrooms enrollment scholarships scholarships universities funding public should.,favor,oppose,favor,2,1,FALSE,TRUE
A00127-01,of taxes market to manufacturing council less industry recession market think employment investment to exports exports issue employment in public for deficit council the is growth market for to will taxes growth more employment our subsidies government employment industry oppose industry of investment council recession deficit to jobs is concern less taxes must trade workers manufacturing investment in deficit market subsidies very subsidies community subsidies trade need exports think investment less our workers investment inflation recession government market tariffs.,favor,neutral,favor,2,1,FALSE,TRUE
A00127-02,city graduation tuition enrollment tutoring training community universities testing funding libraries literacy libraries that curriculum teachers testing funding training schools scholarships need a testing enrollment teachers schools funding students scholarships classrooms students our concern believe should literacy curriculum literacy council and will need curriculum need universities curriculum support community in that curriculum students will teachers teachers funding schools universities a city scholarships teachers will classrooms libraries universities of schools is literacy is more issue tutoring graduation teachers the libraries government schools should training a policy that and that enrollment scholarships graduation scholarships funding tuition schools is concern funding testing libraries a.,irrelevant,neutral,irrelevant,2,1,FALSE,TRUE
A00140-02,and teachers literacy in that policy universities students tutoring schools tutoring a testing classrooms very tutoring curriculum believe testing tuition issue council training tuition is literacy testing testing must enrollment very schools less is support literacy tutoring very policy will universities students funding libraries less city of graduation believe enrollment scholarships teachers to very classrooms schools universities enrollment oppose teachers oppose oppose classrooms testing support students our public community tutoring students training more classrooms city training schools literacy literacy literacy scholarships that city literacy.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00153-04,not emissions wetlands pesticides to issue wildlife issue for our council habitat recycling flooding oppose city climate cleanup cleanup will climate wetlands recycling should issue pollution cleanup carbon solar warming public solar wildlife flooding should climate policy flooding forests forests drought to.,oppose,favor,favor,2,1,FALSE,TRUE
A00164-02,universities testing people tuition council for testing curriculum libraries tutoring training community curriculum graduation in teachers enrollment need schools graduation we our issue teachers tuition teachers a scholarships to testing oppose less must training believe in public and libraries need schools not curriculum universities concern funding literacy graduation our students classrooms graduation of curriculum graduation tutoring teachers for training tutoring scholarships teachers support libraries libraries very testing very libraries training.,favor,irrelevant,favor,2,1,FALSE,TRUE
A00182-03,that libraries students must funding we tuition very a oppose we of teachers curriculum more graduation more training to literacy not oppose people testing funding government believe students tutoring testing tuition enrollment not graduation tutoring classrooms scholarships issue for libraries support should people less universities literacy students schools people literacy the curriculum a.,oppose,favor,favor,2,1,FALSE,TRUE
A00193-04,that teachers a teachers in government tutoring is we the curriculum policy not believe literacy scholarships schools is students must graduation for graduation literacy graduation very classrooms classrooms city funding curriculum city not schools community of enrollment in believe think very issue less people curriculum testing must funding of training teachers more tuition.,irrelevant,neutral,irrelevant,2,1,FALSE,TRUE
A00222-03,jobs city workers jobs recession investment workers growth investment subsidies should council trade growth recession less growth think tariffs wages oppose very investment trade workers growth must need jobs not that less tariffs workers of market industry workers jobs is manufacturing issue more trade in we exports less should exports jobs inflation growth deficit market more to concern people city subsidies jobs must industry employment to subsidies to trade deficit must market government need employment investment exports wages taxes to employment tariffs inflation policy exports subsidies.,favor,neutral,favor,2,1,FALSE,TRUE
A00261-02,drought in solar should recycling solar for our think solar conservation of more pesticides renewable solar believe pesticides conservation pesticides for council not we forests warming policy flooding not government wildlife renewable must cleanup wetlands emissions the oppose emissions rivers conservation carbon must need of issue.,neutral,irrelevant,irrelevant,2,1,FALSE,TRUE
A00263-06,believe enforcement crime gangs surveillance oppose believe policy patrol protection crime enforcement threat safety public violence should violence crime courts public think will police and that more protection a terrorism will our defense emergency protection community terrorism courts courts government patrol safety border we support to and more military patrol that weapons that patrol surveillance military military surveillance we protection safety people to people the terrorism oppose police surveillance border surveillance violence our patrol surveillance weapons terrorism think believe military government.,neutral,favor,favor,2,1,FALSE,TRUE
A00291-06,curriculum tuition graduation tutoring tuition of council that universities training graduation curriculum funding scholarships classrooms literacy universities is should the literacy enrollment concern testing students enrollment teachers classrooms schools tutoring literacy graduation teachers teachers scholarships scholarships think must funding should people not universities public literacy public enrollment not schools training teachers classrooms curriculum schools a of scholarships funding issue literacy teachers in universities curriculum concern a concern public tutoring issue not training should need scholarships curriculum curriculum teachers testing universities we is our tuition believe believe need curriculum teachers a teachers very scholarships very classrooms graduation.,oppose,favor,favor,2,1,FALSE,TRUE
A00291-07,subsidies wages employment people deficit community for taxes public wages manufacturing inflation a wages inflation market growth employment employment that growth inflation employment jobs employment subsidies workers people taxes market industry deficit public wages concern our jobs growth concern very is inflation workers subsidies think trade our budget workers industry that growth community taxes trade trade workers recession we market of inflation taxes council deficit inflation market jobs is oppose and of inflation recession recession industry growth and must wages manufacturing think manufacturing wages the growth taxes growth wages recession exports growth industry for inflation market support a that industry trade workers budget wages manufacturing.,neutral,oppose,neutral,2,1,FALSE,TRUE
A00291-08,prevention disease support hospital disease disease mortality issue our treatment will disease the disease insurance hospital disease screening mortality very wellness disease need not and care oppose immunization disease policy oppose for epidemic sanitation wellness people prevention vaccine think pandemic sanitation wellness insurance screening screening epidemic should patients pandemic epidemic prevention vaccine insurance issue outbreak immunization not pandemic screening must should clinic nurses immunization vaccine a sanitation is to must prevention outbreak support a sanitation clinic that vaccine of disease will care of our the will support is issue insurance outbreak vaccine public wellness public oppose hospital treatment city clinic disease immunization care will prevention treatment screening.,irrelevant,neutral,irrelevant,2,1,FALSE,TRUE
A00299-01,to students universities literacy students government schools training is teachers universities tutoring a support enrollment that support testing that enrollment classrooms for council enrollment need of enrollment libraries testing tuition students libraries literacy tutoring classrooms policy we curriculum believe issue classrooms training will tutoring curriculum classrooms scholarships scholarships of teachers will enrollment our council should training support schools scholarships council teachers graduation to literacy classrooms literacy classrooms libraries the city tuition in tuition graduation students in scholarships concern training scholarships tutoring enrollment less need less policy support enrollment funding support for and scholarships not will will need scholarships schools schools classrooms enrollment very not not funding and tutoring schools the libraries scholarships for.,favor,irrelevant,favor,2,1,FALSE,TRUE
A00299-02,literacy tutoring libraries literacy we classrooms must that scholarships classrooms teachers tuition in students enrollment support council enrollment training public students people literacy universities training libraries literacy tuition tuition universities must will believe more public funding schools very literacy schools policy in schools tutoring schools training tuition tutoring universities curriculum tutoring more not literacy tuition libraries should more schools libraries literacy think tuition testing tuition government universities tutoring very council libraries to in literacy think graduation not classrooms schools issue graduation and city funding tutoring tuition city tutoring universities universities teachers tuition literacy libraries think literacy schools scholarships more of of we government more libraries city.,favor,oppose,favor,2,1,FALSE,TRUE
A00299-03,emissions flooding conservation recycling habitat pesticides city concern believe support warming a must support in not habitat conservation flooding pollution wildlife wetlands flooding carbon emissions renewable wetlands that warming drought habitat community climate our emissions government flooding conservation cleanup conservation emissions recycling cleanup conservation think community to public forests rivers pesticides recycling wetlands a habitat warming not city oppose forests our forests warming renewable climate wildlife pollution drought rivers policy will public more emissions more recycling forests recycling rivers habitat pesticides recycling recycling a wildlife very flooding climate concern pesticides forests rivers support to.,favor,oppose,favor,2,1,FALSE,TRUE
A00299-07,intelligence support protection courts issue safety gangs safety violence terrorism border enforcement courts border crime need gangs military safety should intelligence emergency of defense council issue defense and intelligence public concern our border military think defense intelligence for terrorism weapons protection patrol police public patrol concern need not violence in safety weapons threat safety we need public in patrol.,favor,irrelevant,favor,2,1,FALSE,TRUE
A00303-01,libraries not the our teachers believe libraries public enrollment students literacy curriculum tuition scholarships public literacy literacy schools should graduation must think in schools scholarships libraries government we students policy classrooms teachers to to schools funding classrooms schools training tuition teachers funding literacy government classrooms classrooms universities classrooms tutoring and support that to to training universities curriculum students tutoring universities the scholarships teachers public training we schools must tuition graduation will literacy for scholarships community policy government teachers tutoring teachers our students scholarships our to classrooms public the funding that graduation tutoring universities literacy universities should literacy public public concern curriculum not classrooms enrollment training funding literacy is scholarships graduation.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00304-02,the in government manufacturing city people should inflation council council that deficit the very support oppose inflation employment employment investment issue deficit deficit growth more tariffs tariffs exports exports will not inflation wages growth oppose inflation government subsidies budget market not recession of should the trade tariffs more inflation employment industry employment taxes subsidies exports growth less tariffs inflation in support we should council.,oppose,irrelevant,irrelevant,2,1,FALSE,TRUE
A00304-04,tuition students curriculum testing classrooms scholarships we scholarships schools concern testing need scholarships curriculum funding teachers council universities funding support our teachers for support not concern literacy community literacy tutoring very in tutoring city teachers testing for literacy tutoring graduation.,oppose,favor,favor,2,1,FALSE,TRUE
A00304-06,graduation schools issue students training training that schools schools oppose less funding training will graduation tutoring should literacy less scholarships curriculum need libraries funding our universities tuition enrollment classrooms graduation should government more funding must council enrollment students classrooms literacy believe curriculum tutoring graduation literacy the testing literacy and concern is community issue issue support will libraries must graduation curriculum libraries training.,irrelevant,neutral,irrelevant,2,1,FALSE,TRUE
A00304-07,funding curriculum enrollment issue council students government universities to testing enrollment more more believe graduation curriculum council schools students tutoring less enrollment students is believe policy policy classrooms tutoring tutoring our schools scholarships libraries schools schools scholarships in curriculum students a less funding need testing of testing funding training must community enrollment training a the universities students enrollment schools teachers teachers very graduation funding students funding graduation in teachers very tuition schools students people graduation libraries public policy schools scholarships tutoring need libraries must libraries tuition we.,neutral,favor,favor,2,1,FALSE,TRUE
A00340-03,and teachers testing scholarships classrooms universities and libraries classrooms enrollment schools universities universities schools students tuition universities public universities students enrollment testing a think graduation tutoring students classrooms the more schools libraries literacy of graduation students enrollment classrooms teachers our students is enrollment a community and community universities more tuition that enrollment to graduation students training testing city more enrollment more universities enrollment graduation issue schools scholarships we community and curriculum curriculum funding universities scholarships issue we funding schools think community enrollment.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00340-05,care community epidemic nurses we and mortality not disease nurses support prevention hospital care is support for to council nurses people care for council insurance is epidemic must we sanitation mortality believe insurance sanitation wellness of care city care people screening hospital hospital believe patients screening screening treatment sanitation treatment care sanitation think clinic to issue concern nurses pandemic sanitation epidemic screening screening policy sanitation insurance treatment screening immunization insurance epidemic insurance patients sanitation prevention public outbreak insurance clinic will nurses.,neutral,favor,favor,2,1,FALSE,TRUE
A00349-01,subsidies community manufacturing trade wages to subsidies market manufacturing market less workers subsidies subsidies wages city jobs that people growth more taxes must growth more should taxes oppose concern for market recession to subsidies industry jobs subsidies government recession subsidies people council taxes market the manufacturing is think recession community tariffs investment government manufacturing wages trade exports budget budget.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00349-02,enrollment teachers students graduation classrooms schools public community tuition literacy libraries testing teachers our students universities tutoring for that tuition people teachers literacy classrooms classrooms tuition libraries libraries funding training policy testing libraries scholarships our that teachers concern training enrollment curriculum literacy training in universities funding funding schools and enrollment public graduation schools a graduation less think less students public training curriculum that very teachers teachers believe literacy schools classrooms libraries and is testing schools concern teachers very literacy schools testing testing we funding tutoring enrollment and testing is council classrooms to must less schools curriculum training schools enrollment schools think classrooms people tuition.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00349-03,development need zoning tenants property to eviction tenants affordable permits issue development mortgage and gentrification zoning mortgage property property people tenants gentrification government more vacancy tenants affordable is shelters mortgage landlords property we must landlords mortgage permits gentrification city neighborhood and development very property rent support we neighborhood zoning city property affordable vacancy in zoning property property gentrification people homeless more eviction eviction zoning support vacancy gentrification zoning rent that support construction landlords concern tenants of landlords neighborhood property gentrification vacancy our support must construction vacancy less homeless zoning gentrification vacancy shelters eviction issue community permits tenants rent for property that the of homeless gentrification landlords neighborhood mortgage we issue shelters people gentrification affordable council concern property property affordable concern.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00385-07,training more universities of testing must oppose schools think and in concern enrollment libraries literacy libraries training in tutoring enrollment that graduation we to literacy believe training funding students less teachers libraries policy is literacy support scholarships funding of schools support scholarships very literacy testing enrollment graduation schools policy believe of literacy will tuition classrooms teachers more curriculum the we for a curriculum funding enrollment tuition in council tuition and training believe testing universities schools schools libraries tutoring literacy oppose testing people more schools very enrollment universities schools.,favor,neutral,favor,2,1,FALSE,TRUE
A00404-01,testing government classrooms graduation testing funding tuition city testing scholarships schools of policy policy classrooms need training enrollment testing think students teachers students students scholarships tuition testing government less testing community teachers teachers will graduation graduation issue training issue tuition universities is community not graduation curriculum training testing classrooms concern students graduation less teachers testing students training tuition for libraries training council classrooms very graduation funding our council libraries teachers libraries tuition students support curriculum funding need curriculum libraries tutoring libraries need must must teachers that not for tuition tutoring universities the must concern curriculum graduation for literacy the community tutoring that students scholarships tuition tuition will.,neutral,favor,favor,2,1,FALSE,TRUE
A00407-02,and universities enrollment universities the enrollment training the tuition to students schools teachers literacy government a of a universities we teachers scholarships tuition is very think graduation funding oppose schools testing in our graduation need libraries public city more tuition should tutoring training curriculum in testing a teachers teachers scholarships students curriculum oppose support enrollment schools city think should the schools that to scholarships should students classrooms graduation scholarships is support schools people testing schools city testing council scholarships scholarships students issue concern will funding not oppose support our and enrollment schools should believe issue tutoring government very literacy graduation literacy testing less people graduation of of policy testing must tuition students funding students of should schools to enrollment.,favor,irrelevant,favor,2,1,FALSE,TRUE
A00407-04,very funding must teachers the scholarships our training is city that very very testing less people classrooms need schools students public testing testing universities graduation curriculum libraries libraries graduation curriculum public enrollment oppose tutoring tuition more issue teachers our teachers in enrollment graduation schools less classrooms curriculum to classrooms concern believe policy enrollment council training curriculum libraries will council people training libraries training students tutoring less classrooms testing city scholarships city will oppose enrollment enrollment libraries will teachers enrollment tutoring students tuition tutoring libraries funding is of our public our funding schools that schools curriculum testing schools policy graduation training teachers.,neutral,irrelevant,irrelevant,2,1,FALSE,TRUE
A00419-05,neighborhood landlords property zoning neighborhood tenants landlords we vacancy council support is a development concern support city government property zoning mortgage mortgage we people neighborhood homeless vacancy construction more need homeless rent oppose affordable tenants rent construction mortgage is oppose zoning government community zoning to shelters public rent concern not council construction government rent affordable not vacancy public gentrification vacancy oppose.,favor,neutral,favor,2,1,FALSE,TRUE
A00419-06,public graduation testing scholarships in training and and tuition council is schools tutoring will training for training support the curriculum training classrooms funding students students classrooms curriculum very testing that testing in teachers scholarships graduation of universities curriculum scholarships must universities libraries need schools will should believe graduation literacy of testing curriculum curriculum very literacy classrooms curriculum our support tutoring literacy council public curriculum more less very students teachers is classrooms a not training libraries students students training literacy very training.,neutral,oppose,neutral,2,1,FALSE,TRUE
A00419-07,city in classrooms not libraries oppose public and curriculum enrollment the tuition scholarships scholarships city tuition tutoring of believe more tuition schools enrollment graduation training very literacy public to for need curriculum teachers graduation need graduation think enrollment believe graduation classrooms curriculum students classrooms classrooms believe training our funding testing teachers and graduation funding tutoring testing literacy should training tutoring oppose funding very a less training to tuition is council curriculum enrollment scholarships students graduation oppose libraries classrooms government very oppose funding enrollment libraries schools that more the need scholarships testing a teachers schools tuition literacy scholarships universities scholarships we scholarships universities training scholarships literacy teachers testing very universities students teachers students scholarships.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00428-02,enrollment tutoring city graduation people funding literacy we libraries testing must curriculum curriculum to issue scholarships teachers think universities training funding curriculum graduation scholarships training libraries very universities think curriculum literacy scholarships literacy students enrollment funding schools enrollment less the literacy enrollment testing universities scholarships curriculum curriculum enrollment believe libraries tutoring curriculum policy tutoring tutoring scholarships scholarships and funding think policy graduation community concern we graduation more will people for scholarships funding literacy students very students testing tutoring scholarships schools for teachers scholarships curriculum funding classrooms funding schools schools training students not a must training people our graduation schools graduation very graduation curriculum for students schools must classrooms libraries policy people students need council very think testing libraries graduation that.,favor,neutral,favor,2,1,FALSE,TRUE
A00432-08,teachers need testing policy for public is think people our scholarships tuition schools curriculum more people less to we teachers libraries the tuition training and issue funding schools tutoring schools not libraries should scholarships curriculum people a libraries public in that the schools enrollment in literacy city classrooms enrollment funding curriculum curriculum students testing community tutoring classrooms enrollment graduation graduation schools and is training more will that policy teachers training curriculum more our should students teachers graduation more schools believe that more graduation oppose tuition training schools curriculum schools that testing students believe think enrollment in tutoring curriculum enrollment to graduation in teachers believe funding tutoring students tuition government schools council libraries.,irrelevant,oppose,irrelevant,2,1,FALSE,TRUE
A00482-02,emergency enforcement weapons oppose weapons border crime terrorism weapons weapons need city of enforcement violence courts terrorism and defense terrorism less protection intelligence police of surveillance weapons surveillance council threat gangs will safety protection enforcement issue enforcement gangs surveillance courts courts council our patrol of patrol patrol city terrorism protection courts in enforcement violence threat we defense emergency defense courts courts violence enforcement intelligence terrorism violence safety emergency council community and violence border surveillance border our community gangs violence violence enforcement gangs and violence patrol gangs issue crime.,irrelevant,favor,favor,2,1,FALSE,TRUE
A00482-04,public graduation in tuition city must teachers more very funding community support our students tutoring tuition government funding literacy libraries need tuition for schools tuition students graduation the public universities we very tuition concern testing testing testing tuition graduation schools universities people training funding teachers training public not testing training believe graduation funding universities scholarships community scholarships libraries tuition students libraries council tuition testing teachers funding universities libraries not council curriculum oppose policy enrollment more tuition public classrooms enrollment council for funding classrooms teachers literacy training classrooms graduation funding testing scholarships graduation curriculum is enrollment funding.,favor,neutral,favor,2,1,FALSE,TRUE
A00482-05,protection policy courts courts border not more terrorism issue defense to threat threat people enforcement the we violence need terrorism crime threat enforcement violence oppose protection surveillance intelligence enforcement protection border police protection more believe gangs police surveillance safety violence threat surveillance to not border protection terrorism emergency community patrol intelligence courts should defense council crime protection courts defense protection defense think courts threat support for patrol think enforcement defense violence safety safety emergency protection believe issue intelligence weapons enforcement patrol patrol community weapons policy more believe government believe people people military courts threat will police less crime intelligence weapons support enforcement enforcement crime policy less believe public protection violence courts violence patrol surveillance surveillance violence need.,irrelevant,favor,favor,2,1,FALSE,TRUE
A00482-06,scholarships concern tuition less support teachers libraries curriculum must more schools graduation community people classrooms universities graduation curriculum universities will libraries to city tuition community the scholarships graduation enrollment schools universities teachers schools testing support classrooms of need the classrooms enrollment libraries graduation and classrooms need literacy libraries city to students support the a literacy curriculum people city scholarships need the universities schools schools graduation teachers graduation policy and literacy curriculum universities students people teachers and our scholarships city must tutoring in scholarships libraries students testing scholarships issue we testing in universities students tutoring need students classrooms graduation is in.,favor,oppose,favor,2,1,FALSE,TRUE
A00492-01,a believe oppose need emissions very renewable cleanup public carbon believe concern climate very wetlands wildlife rivers renewable wildlife warming forests flooding will warming climate people wetlands of city forests solar drought warming in people council pollution oppose city of climate emissions flooding issue emissions council conservation people community flooding renewable should conservation climate pollution conservation should oppose warming must warming climate in should rivers community very wetlands wildlife pesticides climate city cleanup not need pesticides climate climate pesticides public wildlife very less pesticides government flooding drought rivers wildlife very that.,neutral,favor,favor,2,1,FALSE,TRUE
A00492-02,a more climate less climate concern and pesticides wildlife recycling policy conservation and conservation recycling our is warming cleanup renewable support a recycling climate solar conservation forests oppose pesticides wildlife council drought oppose is flooding wildlife government forests solar warming cleanup conservation forests solar emissions pollution city cleanup support emissions concern wildlife pesticides wildlife council carbon emissions pollution renewable our climate our habitat carbon will of pesticides recycling a cleanup habitat renewable concern solar drought drought will renewable solar community solar council not forests pesticides cleanup warming rivers rivers renewable less carbon wetlands emissions cleanup council forests recycling a wetlands wetlands solar people conservation cleanup emissions climate public to.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00492-05,government investment we investment trade growth market community tariffs of manufacturing jobs to trade budget workers subsidies industry in investment oppose to less tariffs workers industry the concern inflation council investment workers less exports trade recession a more need industry deficit taxes trade will city exports exports budget market jobs will recession industry trade believe workers growth concern taxes manufacturing public growth manufacturing market not that policy trade taxes wages more subsidies market deficit taxes tariffs city should public in wages not employment to market recession public issue workers subsidies employment market concern workers manufacturing in manufacturing community exports manufacturing community industry growth trade is concern manufacturing should workers less.,oppose,favor,favor,2,1,FALSE,TRUE
A00496-02,deficit trade employment subsidies in deficit wages jobs for recession budget investment deficit issue to not city growth industry growth workers less will budget trade trade industry support very city manufacturing subsidies not subsidies support community very we our inflation industry industry wages community subsidies inflation subsidies taxes to workers tariffs wages trade in industry that of council tariffs believe.,oppose,favor,favor,2,1,FALSE,TRUE
A00502-02,funding schools people teachers schools literacy enrollment curriculum training testing schools public curriculum schools testing schools city that training not we testing tutoring classrooms funding we more literacy issue less training curriculum universities for oppose think testing oppose city think that funding funding universities curriculum curriculum must very our in graduation curriculum graduation teachers public tuition is must funding must oppose think very support tuition libraries teachers classrooms we concern scholarships the more to teachers city classrooms the tutoring council funding enrollment a students more universities in libraries scholarships libraries testing tutoring and and training scholarships scholarships teachers a issue and curriculum should council council think universities tutoring our must must students classrooms.,neutral,irrelevant,irrelevant,2,1,FALSE,TRUE
A00547-01,students people scholarships libraries teachers support graduation oppose training of testing testing curriculum funding literacy funding not need curriculum classrooms libraries literacy enrollment of scholarships universities our classrooms enrollment people policy should students our testing in community universities believe should support universities less in in will believe funding scholarships students libraries concern our tutoring for curriculum must a literacy scholarships enrollment enrollment teachers teachers council graduation schools to our libraries for think people graduation teachers classrooms classrooms training libraries.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00562-04,literacy we scholarships literacy literacy teachers community training believe public council graduation classrooms community literacy scholarships city tuition teachers scholarships will issue training libraries classrooms more concern literacy tutoring need for policy literacy enrollment scholarships classrooms libraries schools need to very believe literacy public tuition training students training scholarships graduation classrooms universities tuition policy schools concern graduation training classrooms policy funding to should tuition community graduation training graduation we must public need very curriculum classrooms will literacy tuition students curriculum classrooms training teachers concern schools more universities government funding in funding graduation tutoring we our people policy tutoring council schools scholarships enrollment libraries libraries will curriculum testing schools not more schools funding scholarships.,irrelevant,neutral,irrelevant,2,1,FALSE,TRUE
A00564-05,support public universities funding enrollment curriculum should we public council graduation universities need funding classrooms in the universities libraries students graduation students we tuition teachers believe literacy in classrooms should literacy tutoring tuition more should and support literacy enrollment universities will graduation in our universities public very not scholarships support of and universities graduation government issue graduation oppose enrollment classrooms public concern tutoring scholarships training tuition scholarships public of literacy of should universities scholarships city enrollment enrollment.,favor,neutral,favor,2,1,FALSE,TRUE
A00577-07,employment government less trade issue must council very public growth budget believe in that will more deficit growth concern for workers we we believe growth market government jobs council recession investment investment our investment investment subsidies jobs trade in not city city investment jobs jobs wages wages workers recession investment.,favor,irrelevant,favor,2,1,FALSE,TRUE
A00587-05,clinic vaccine vaccine less insurance insurance vaccine clinic city outbreak pandemic disease think disease wellness a disease vaccine wellness issue the pandemic sanitation treatment insurance is the that insurance immunization mortality sanitation nurses nurses disease mortality disease our care hospital insurance mortality people nurses treatment will insurance support immunization clinic sanitation outbreak disease screening outbreak issue hospital sanitation epidemic community hospital prevention screening care insurance is vaccine we hospital need.,favor,neutral,favor,2,1,FALSE,TRUE
