id,text,maverick,second,consensus,n_models,n_agree,unanimous
A00057-01,for that not of growth tariffs we tariffs wildfire taxes workers taxes issue people recession exports manufacturing subsidies city our inflation issue policy workers manufacturing must less manufacturing recession deficit tariffs exports industry believe market workers concern investment is exports investment a policy market jobs very our recession very wages our and rideshare recession employment exports issue city subsidies concern manufacturing growth more support employment exports inflation of workers industry taxes subsidies wages growth deficit community issue growth for must not recession exports our subsidies wages investment investment for government community oppose employment policy deficit manufacturing jobs trade manufacturing must subsidies policy recession deficit community a city think inflation.,favor,neutral,favor,2,1,FALSE
A00062-02,industry deficit jobs public foreclosure employment exports government employment manufacturing growth policy believe subsidies blog deficit hurricane tariffs need budget issue people employment think tariffs workers jobs exports exports hurricane and city investment exports not trade bailout in is taxes not manufacturing jobs support think think.,oppose,neutral,neutral,2,1,FALSE
A00065-02,workers very investment recession council industry must industry workers industry jobs market inflation growth more issue must and hashtag investment manufacturing fracking manufacturing our recession trade recession we budget and we austerity manufacturing deficit tariffs budget growth employment trade wages employment industry drone fracking community growth.,neutral,oppose,neutral,2,1,FALSE
A00065-04,to market to oppose workers trade inflation subsidies jobs investment investment should drone exports need drone jobs recession tariffs our subsidies should exports industry think deficit issue manufacturing drone recession market recession growth budget manufacturing public issue employment employment jobs to for city subsidies employment jobs growth that growth workers trade austerity our budget market growth exports taxes inflation workers exports people industry will industry subsidies inflation tariffs budget tariffs manufacturing broadband investment investment tariffs is manufacturing a growth industry policy people deficit council recession.,irrelevant,neutral,irrelevant,2,1,FALSE
A00065-07,growth wages inflation jobs wages jobs support support growth subsidies trade broadband more investment market think trade employment growth public employment support inflation in market market that we growth jobs people inflation inflation issue concern trade growth drone believe need community inflation subsidies community recession that for more industry exports not hashtag growth inflation city budget should budget.,favor,irrelevant,favor,2,1,FALSE
A00069-02,issue city will investment investment bailout a recession city community oppose recession subsidies market less will issue budget employment investment inflation budget employment the people very foreclosure employment hurricane that should market employment subsidies industry industry the exports trade very manufacturing oppose market exports workers inflation employment jobs think government city more public policy tariffs community concern taxes very taxes deficit city budget workers should recession wages think industry taxes wages manufacturing deficit growth industry investment inflation our tariffs recession the policy workers a growth trade employment blog oppose market taxes city subsidies the taxes manufacturing we workers recession will budget subsidies a subsidies trade that trade stimulus we recession will tariffs market industry will that workers investment wages community workers industry exports.,favor,oppose,favor,2,1,FALSE
A00069-05,growth wages growth public industry industry concern workers manufacturing industry industry inflation policy less need subsidies industry deficit investment bailout tariffs industry oppose trade recession very is industry trade trade hurricane workers a growth employment deficit less budget subsidies growth workers community people we wages investment concern stimulus more inflation jobs jobs exports growth industry trade.,neutral,oppose,neutral,2,1,FALSE
A00072-02,drone manufacturing hashtag workers to employment wages support not subsidies fracking that deficit exports concern policy and austerity concern employment investment community should manufacturing budget taxes growth tariffs inflation must that people public public exports of exports wages workers employment inflation deficit taxes industry drone support employment manufacturing our tariffs.,favor,oppose,favor,2,1,FALSE
A00072-05,need jobs employment recession wages manufacturing wages recession should must growth that market believe market public a inflation subsidies inflation less must deficit industry workers inflation investment concern fracking austerity more exports budget the should not hashtag wages recession people market broadband taxes council trade deficit taxes to industry subsidies industry think jobs in deficit support industry market market we public investment employment jobs industry industry inflation growth deficit the employment deficit concern issue community industry wages industry jobs employment tariffs market and must taxes taxes and deficit recession tariffs think a investment more manufacturing council deficit must subsidies will subsidies wages tariffs issue for workers subsidies not and growth industry taxes exports employment for oppose recession deficit.,neutral,irrelevant,irrelevant,2,1,FALSE
A00076-04,exports government public public chatbot not oppose inflation concern lockdown support manufacturing employment investment tariffs trade will market manufacturing manufacturing inflation concern council inflation workers think telework chatbot employment subsidies growth recession exports industry to that policy workers budget jobs recession manufacturing deficit industry more not jobs growth workers tariffs deficit subsidies taxes growth taxes manufacturing in misinformation industry people wages more budget jobs believe subsidies our taxes budget employment is budget taxes of budget jobs.,favor,irrelevant,favor,2,1,FALSE
A00090-08,recession trade manufacturing taxes subsidies in wages inflation investment tariffs jobs believe growth subsidies concern growth market investment investment deficit employment wages is tariffs market exports lockdown issue quarantine need subsidies inflation market subsidies more growth chatbot manufacturing chatbot manufacturing of trade taxes misinformation manufacturing oppose.,favor,neutral,favor,2,1,FALSE
A00094-06,manufacturing wildfire should believe wages tariffs taxes more the industry growth employment should subsidies issue taxes jobs manufacturing growth investment will subsidies a more budget workers more subsidies tariffs need and tariffs the oppose industry less recession trade government for should market employment tariffs rideshare market exports taxes more very is wages recession taxes jobs growth inflation inflation inflation recession people vaping very tariffs to exports inflation jobs employment subsidies oppose we employment trade must workers budget we taxes less manufacturing tariffs workers public exports a concern public tariffs support wildfire trade tariffs to taxes wages industry need of tariffs must workers recession should exports taxes of exports council.,oppose,irrelevant,irrelevant,2,1,FALSE
A00111-02,community recession trade support exports investment recession tariffs market market oppose not support industry in oppose recession must jobs budget employment deficit trade industry taxes industry inflation trade wages more exports not manufacturing tariffs market market modem workers wages industry growth of believe inflation council budget market wages should deficit of more wages manufacturing city wages not inflation budget investment employment think policy workers exports jobs jobs trade people recession community market industry millennium believe must not wages support taxes government tariffs government budget anthrax taxes.,neutral,favor,favor,2,1,FALSE
A00111-04,workers manufacturing council council market manufacturing trade trade city support wages less policy workers employment inflation will trade employment not is market subsidies investment subsidies taxes market city taxes recession in less of the industry growth growth oppose think taxes exports concern inflation tariffs budget exports market manufacturing manufacturing community city manufacturing is community to for subsidies less must employment taxes budget wages recession more y2k more believe very that manufacturing dialup taxes government industry workers budget council industry in market jobs concern inflation in taxes investment recession modem industry workers taxes y2k trade council deficit employment not workers industry to.,oppose,favor,favor,2,1,FALSE
A00111-05,inflation people taxes wages trade budget wages taxes wages industry should recession modem market should tariffs council people taxes that must trade will concern of issue market investment issue think issue our in recession tariffs recession deficit issue subsidies inflation a need a should manufacturing believe wages taxes less jobs inflation is industry recession investment and deficit growth that of recession budget will workers that manufacturing deficit of taxes subsidies trade subsidies support inflation of manufacturing market believe more of tariffs workers manufacturing manufacturing taxes very manufacturing market should industry industry exports industry y2k growth think inflation jobs is public manufacturing tariffs dialup.,oppose,favor,favor,2,1,FALSE
A00112-02,trade in trade think recession growth broadband investment should very not industry growth manufacturing less our market wages taxes investment jobs taxes should investment in recession less growth the jobs subsidies policy concern jobs exports fracking workers jobs our not think that industry government deficit investment wages will of budget austerity concern government workers fracking employment employment market employment and our manufacturing issue employment market deficit taxes a for exports is growth issue our for workers city wages jobs very recession investment market taxes trade to wages more industry manufacturing that manufacturing trade people inflation issue support taxes deficit will workers more employment recession will manufacturing growth trade workers market oppose budget issue will must.,neutral,favor,favor,2,1,FALSE
A00112-04,for government market subsidies oppose growth subsidies budget fracking a workers wages wages tariffs austerity taxes market exports that must is industry tariffs council exports community believe and inflation fracking employment that wages employment council workers must exports employment employment taxes jobs government think deficit subsidies wages exports community industry wages council investment very deficit jobs budget the tariffs concern manufacturing growth inflation industry investment drone concern industry workers employment wages manufacturing manufacturing issue workers jobs subsidies drone city market jobs we taxes deficit our concern manufacturing tariffs manufacturing believe.,oppose,irrelevant,irrelevant,2,1,FALSE
A00114-01,issue subsidies industry misinformation investment jobs people market jobs must community policy deficit we jobs deficit our trade must should budget deficit subsidies workers must need of trade exports inflation taxes trade issue workers deficit budget deficit inflation trade public workers manufacturing tariffs investment workers oppose manufacturing growth we government of tariffs tariffs subsidies growth for wages public budget trade industry growth inflation telework employment community people manufacturing government tariffs workers jobs to employment manufacturing wages public employment exports people think growth market exports less trade that our market manufacturing taxes we is in recession will trade quarantine growth issue manufacturing.,neutral,irrelevant,irrelevant,2,1,FALSE
A00115-02,budget council not growth taxes wages employment workers recession council city issue we community growth inflation is believe government tariffs employment manufacturing tariffs jobs market public jobs of tariffs less investment recession recession manufacturing lockdown policy lockdown community industry growth exports tariffs concern budget not believe oppose in manufacturing need community trade is is misinformation budget issue is oppose concern subsidies manufacturing council budget taxes investment tariffs market employment employment employment employment workers people jobs industry tariffs tariffs investment trade exports jobs lockdown market and investment in employment not subsidies budget need investment less market industry taxes deficit deficit wages wages inflation recession government employment market market inflation government quarantine taxes a workers should industry the recession industry city is.,favor,neutral,favor,2,1,FALSE
A00115-07,oppose manufacturing manufacturing taxes industry more trade budget wages to workers exports jobs workers community budget jobs misinformation should that we and chatbot of for taxes market for support public trade people investment manufacturing exports deficit very manufacturing more manufacturing our believe jobs investment trade budget the growth must exports manufacturing industry growth budget investment employment subsidies is jobs less industry lockdown subsidies exports need policy council budget a need oppose in exports council need not wages manufacturing inflation believe lockdown the more we inflation city we very the not subsidies workers government taxes inflation not deficit will public wages subsidies wages we think investment investment exports tariffs think manufacturing should manufacturing exports market issue tariffs oppose.,irrelevant,neutral,irrelevant,2,1,FALSE
A00116-02,for growth budget jobs to to will oppose subsidies not deficit wages taxes believe workers council recession our manufacturing support policy jobs public jobs that is lockdown recession deficit budget market taxes in our and is growth support will think inflation manufacturing employment trade growth exports to growth market wages support will policy recession trade inflation in employment subsidies public employment industry recession and taxes deficit should budget workers our jobs oppose market employment less growth think tariffs government investment inflation budget investment deficit lockdown trade jobs tariffs growth employment support employment workers growth recession deficit inflation should the industry growth manufacturing inflation tariffs manufacturing budget telework employment a is investment budget workers more exports recession council market inflation taxes industry wages the.,favor,neutral,favor,2,1,FALSE
A00128-02,subsidies investment people tariffs we tariffs will wages taxes less inflation will support trade inflation we inflation city taxes taxes the and wages investment industry industry tariffs workers wages the growth investment recession bailout inflation less wages subsidies growth jobs market investment very market support community subsidies issue community jobs taxes employment recession need market subsidies support a will taxes should subsidies need taxes exports oppose budget exports exports tariffs inflation blog trade workers exports taxes wages think for industry workers we public exports taxes jobs more tariffs wages people policy inflation workers foreclosure of taxes the and tariffs is the exports investment industry will think recession in trade recession trade we more a not trade for budget need.,neutral,favor,favor,2,1,FALSE
A00130-02,government growth need trade public growth deficit deficit think not industry government growth manufacturing recession streaming tariffs budget people inflation community deficit very investment tariffs think exports employment industry we support and employment deficit trade budget workers manufacturing must support the public industry taxes industry rideshare city our investment oppose we trade is and budget employment oppose industry trade growth market believe inflation inflation council industry concern workers deficit investment workers will people industry trade public subsidies for recession workers subsidies support growth support workers we subsidies public tariffs subsidies wildfire workers employment manufacturing must oppose concern growth and deficit workers recession budget oppose market wages employment growth trade recession investment deficit employment inflation less workers to workers trade council workers opioid.,favor,oppose,favor,2,1,FALSE
A00136-06,jobs workers public trade growth public is deficit trade the blog recession exports subsidies budget public that industry jobs inflation hurricane not bailout and trade issue government exports council exports investment blog recession tariffs taxes budget taxes employment workers manufacturing industry budget issue inflation in deficit.,neutral,favor,favor,2,1,FALSE
A00138-01,workers issue inflation trade recession recession jobs quarantine a and people jobs tariffs industry market tariffs inflation exports oppose issue and believe quarantine subsidies inflation investment will tariffs misinformation our market quarantine should growth believe must very not growth need concern tariffs deficit budget workers inflation.,oppose,neutral,neutral,2,1,FALSE
A00141-02,exports manufacturing think in council is budget is employment concern community trade very council trade investment trade recession industry and more exports employment support workers employment tariffs growth exports must stimulus employment think to very exports workers less trade market less government wages employment employment stimulus wages deficit workers subsidies recession trade community subsidies workers more exports oppose taxes budget investment should trade manufacturing trade manufacturing should in budget stimulus investment jobs market growth workers council we exports budget a in industry budget of.,oppose,favor,favor,2,1,FALSE
A00141-06,employment market tariffs wages of people less workers manufacturing tariffs industry not hurricane jobs city blog manufacturing government market employment tariffs will support employment not trade trade subsidies recession inflation exports growth trade inflation people market market budget inflation tariffs blog manufacturing taxes manufacturing inflation we in trade jobs wages.,oppose,irrelevant,irrelevant,2,1,FALSE
A00142-04,believe must exports must industry less of subsidies need support investment less wages for investment manufacturing industry concern city concern very wages trade the workers manufacturing workers that subsidies tariffs wages budget people jobs inflation not misinformation manufacturing tariffs tariffs chatbot that.,oppose,irrelevant,irrelevant,2,1,FALSE
A00142-05,market growth our that telework market concern market market recession workers industry quarantine growth inflation a employment that workers and subsidies that will support we trade concern workers a market employment of deficit growth and more inflation workers exports more government of industry think recession policy inflation workers trade market very misinformation should market budget subsidies employment exports community workers trade very deficit workers manufacturing investment jobs recession investment tariffs industry wages recession chatbot workers budget that wages council must recession employment council must more concern should subsidies trade tariffs we believe less will industry trade.,neutral,irrelevant,irrelevant,2,1,FALSE
A00147-01,tariffs must recession market need tariffs to in jobs oppose trade our trade council wages exports for need inflation investment market trade council manufacturing industry should is the deficit to the budget market trade growth industry issue deficit workers workers deficit industry a growth is issue quarantine concern tariffs believe workers more investment less industry jobs recession growth trade taxes our inflation community budget council exports budget council market wages growth workers concern deficit budget support for to tariffs deficit exports more for jobs tariffs telework misinformation deficit market trade a quarantine workers chatbot that tariffs that taxes manufacturing budget wages.,favor,irrelevant,favor,2,1,FALSE
A00148-02,jobs that think our inflation investment exports inflation deficit taxes exports should the to chatbot for deficit is wages deficit industry budget for growth exports deficit jobs community more wages exports our very trade employment tariffs and of very exports not chatbot wages growth a a quarantine inflation taxes taxes recession exports manufacturing our and less workers chatbot exports public oppose deficit investment wages the need people is taxes misinformation recession the trade growth inflation less our investment that trade think exports industry trade tariffs taxes.,irrelevant,favor,favor,2,1,FALSE
A00148-07,not exports market the community exports taxes to concern market more wages investment inflation people workers and deficit to industry tariffs deficit is employment growth telework trade employment tariffs tariffs market public industry wages is industry very employment the subsidies inflation city exports wages investment of tariffs subsidies budget market issue exports investment will subsidies believe inflation trade exports more industry workers think issue deficit people industry think employment believe market concern growth market policy tariffs concern we city lockdown employment issue subsidies public investment workers growth deficit to wages not employment employment market very we inflation industry employment industry industry public not people growth should believe policy growth in budget.,neutral,irrelevant,irrelevant,2,1,FALSE
A00153-08,subsidies exports recession industry taxes market support trade should for employment exports wages should very and recession issue in we government people market workers government industry tariffs recession people tariffs employment growth deficit budget support inflation subsidies subsidies employment need tariffs inflation workers more employment trade investment that deficit issue deficit industry employment wages should for workers we manufacturing less of must recession should investment issue broadband need market investment jobs manufacturing market workers very budget growth believe a very will recession a taxes taxes taxes growth market growth should employment we subsidies industry support a think industry exports budget trade exports trade deficit trade we austerity deficit investment employment market.,neutral,favor,favor,2,1,FALSE
A00154-01,should public growth investment industry trade subsidies must think public taxes jobs trade budget employment exports recession workers very not more must industry market inflation tariffs support public industry market manufacturing recession inflation not very jobs think deficit issue our policy investment tariffs jobs people taxes exports exports jobs we jobs hurricane workers growth growth investment that jobs think foreclosure industry workers council workers must employment people subsidies market think trade workers.,neutral,irrelevant,irrelevant,2,1,FALSE
A00163-04,jobs will industry broadband investment industry for broadband wages tariffs for industry investment is of government market taxes trade inflation less growth employment drone manufacturing manufacturing market will a employment subsidies deficit employment market will inflation council policy trade deficit broadband oppose exports trade investment less deficit inflation growth jobs less trade very recession workers and council inflation should people hashtag should subsidies exports wages growth of the tariffs investment.,favor,irrelevant,favor,2,1,FALSE
A00165-03,jobs support in employment community growth in tariffs budget industry to growth a our subsidies and we manufacturing lockdown deficit very taxes deficit workers industry quarantine more telework exports that will inflation exports exports for trade tariffs of budget manufacturing to to chatbot subsidies issue exports inflation tariffs investment will tariffs inflation we will exports jobs manufacturing of budget lockdown trade deficit recession will will need exports deficit taxes manufacturing believe exports recession must employment.,oppose,irrelevant,irrelevant,2,1,FALSE
A00165-05,subsidies very recession subsidies taxes issue quarantine recession people subsidies budget inflation jobs should will budget telework taxes industry and policy subsidies recession trade budget investment workers not tariffs manufacturing believe tariffs people growth taxes public exports should the inflation chatbot deficit growth that deficit less wages is deficit deficit city budget community growth workers not jobs recession investment wages government quarantine workers budget chatbot.,favor,oppose,favor,2,1,FALSE
A00166-05,growth employment deficit employment manufacturing will telework telework industry not must is taxes oppose community exports council chatbot exports subsidies inflation public investment quarantine community growth jobs budget growth workers budget a jobs and less recession of think will employment subsidies taxes a oppose jobs is will market tariffs jobs wages budget workers tariffs budget market trade that budget recession to concern jobs our deficit exports growth taxes growth employment in workers exports exports policy investment deficit and need taxes believe taxes government misinformation subsidies jobs will taxes and the jobs budget council not trade think trade in exports our think community tariffs deficit exports manufacturing community public the taxes taxes deficit public.,oppose,neutral,neutral,2,1,FALSE
A00169-01,investment workers should subsidies tariffs subsidies we hashtag policy drone that manufacturing hashtag subsidies deficit recession should trade that should inflation taxes exports support workers employment must workers jobs less investment in tariffs manufacturing not for wages taxes recession investment issue that trade exports jobs workers council employment workers need deficit more budget a to that of deficit a and investment budget will think exports think inflation in industry not wages city should growth budget deficit jobs need oppose budget manufacturing oppose investment to city wages will employment inflation for jobs public investment growth manufacturing support market tariffs growth in exports manufacturing inflation not and that taxes investment community growth wages council recession jobs austerity trade manufacturing trade market is of issue.,favor,irrelevant,favor,2,1,FALSE
A00169-02,wages need investment deficit must trade trade wages industry industry council inflation recession will deficit to is wages council subsidies exports manufacturing manufacturing trade issue will taxes in support deficit drone very we growth industry workers budget industry public trade drone is people workers market our in industry must workers inflation oppose oppose support we deficit austerity for growth people manufacturing exports market must that employment inflation drone wages market the more of tariffs investment workers to market inflation should exports recession jobs taxes public recession investment subsidies concern manufacturing deficit for council fracking inflation inflation manufacturing employment a workers investment tariffs taxes support to.,oppose,neutral,neutral,2,1,FALSE
A00170-01,market fracking deficit market subsidies workers fracking tariffs less manufacturing inflation exports government a subsidies council recession must subsidies tariffs deficit concern drone trade very more exports the subsidies subsidies need inflation will government concern inflation our a city employment more exports for community manufacturing market wages taxes in subsidies recession deficit deficit investment growth in subsidies manufacturing oppose manufacturing jobs and need will.,favor,neutral,favor,2,1,FALSE
A00189-01,inflation industry government community deficit employment tariffs deficit need trade need issue manufacturing to manufacturing the the and growth recession deficit public people taxes city exports council recession tariffs industry we employment exports jobs in jobs manufacturing think market rideshare exports trade exports manufacturing not people is manufacturing recession budget that will trade investment inflation subsidies not subsidies believe our we believe tariffs need trade government market must budget manufacturing think taxes jobs jobs support workers more market our that employment trade taxes investment workers employment streaming for wages that trade believe taxes budget council government exports subsidies taxes workers is exports city wages subsidies market jobs recession subsidies.,oppose,neutral,neutral,2,1,FALSE
A00189-03,manufacturing workers market believe wages investment a concern trade deficit growth workers market in wages industry recession recession vaping subsidies support more need less believe public we need trade employment opioid growth manufacturing growth subsidies wages and growth market need city subsidies subsidies exports to tariffs exports trade trade a policy deficit will exports industry manufacturing growth employment inflation taxes streaming less employment and will trade city industry deficit industry inflation our streaming industry not think market inflation community manufacturing inflation manufacturing wages subsidies policy concern for recession market market manufacturing jobs trade to should taxes support streaming exports taxes industry policy city manufacturing workers subsidies wages wages jobs our market tariffs recession to.,neutral,favor,favor,2,1,FALSE
A00194-06,market need exports jobs believe of investment market budget must employment taxes manufacturing workers tariffs growth market market taxes hurricane that wages more investment recession city the investment trade foreclosure industry inflation concern that jobs inflation budget deficit workers growth support foreclosure will employment stimulus exports wages issue tariffs support market a budget market investment tariffs workers industry must for budget trade must workers that city support less industry wages tariffs for trade deficit concern policy a employment jobs policy jobs.,neutral,oppose,neutral,2,1,FALSE
A00203-05,trade wages tariffs a taxes support very jobs and recession manufacturing industry manufacturing manufacturing more policy concern growth need more budget exports a issue exports must inflation employment industry subsidies oppose a market deficit wages exports growth inflation concern policy tariffs jobs wages to workers city inflation will subsidies exports subsidies wages budget recession of industry growth taxes employment budget jobs very that jobs council taxes trade growth manufacturing tariffs the budget budget in tariffs more industry will must industry exports council investment taxes budget city taxes taxes employment need employment inflation workers oppose misinformation concern recession workers will exports trade industry for investment inflation more is recession lockdown.,favor,oppose,favor,2,1,FALSE
A00208-06,more subsidies government workers inflation council more tariffs wages very tariffs manufacturing trade investment subsidies market inflation for investment market council our subsidies issue hashtag taxes should deficit employment investment recession that to must recession support taxes trade broadband inflation employment investment exports inflation concern austerity industry inflation policy our exports tariffs wages wages employment of city people tariffs recession and industry jobs budget budget growth.,irrelevant,favor,favor,2,1,FALSE
A00218-04,y2k taxes to of recession we issue our our community will we investment a market taxes believe employment is the modem community inflation manufacturing investment modem industry recession think taxes jobs the budget market anthrax city industry trade deficit employment recession think the council workers industry dialup policy exports our budget growth community recession manufacturing workers more workers in jobs more exports inflation of to subsidies of employment think community investment we recession jobs issue jobs taxes workers subsidies taxes workers government a employment deficit people wages industry taxes exports more we city not deficit public jobs manufacturing must the a we trade trade wages council taxes.,neutral,irrelevant,irrelevant,2,1,FALSE
A00219-01,subsidies less deficit trade in subsidies taxes our oppose recession for chatbot need think subsidies of jobs public recession exports jobs wages recession budget exports to in oppose jobs workers to workers wages recession deficit subsidies believe recession will employment wages oppose exports telework jobs investment quarantine jobs taxes market less more tariffs concern workers policy trade a need trade government city tariffs and recession employment lockdown industry tariffs employment must growth taxes must wages jobs inflation investment government recession inflation industry our growth taxes deficit and budget community deficit recession the exports industry deficit tariffs investment growth deficit investment less that exports support industry investment less community of market manufacturing very issue industry in tariffs subsidies employment.,neutral,favor,favor,2,1,FALSE
