id,text
A00206-01,surveillance believe need less patrol less border public protection terrorism must courts public safety terrorism violence that border government terrorism police a terrorism crime emergency surveillance police less weapons enforcement enforcement courts military streaming courts border military courts terrorism public is military need courts is government courts military safety surveillance issue crime a police emergency the violence policy the military protection more military emergency defense border council safety border protection in weapons police military that terrorism people that police police safety crime safety police the gangs violence violence more safety is will intelligence gangs weapons terrorism weapons courts issue defense a gangs border wildfire surveillance city.
A00219-01,subsidies less deficit trade in subsidies taxes our oppose recession for chatbot need think subsidies of jobs public recession exports jobs wages recession budget exports to in oppose jobs workers to workers wages recession deficit subsidies believe recession will employment wages oppose exports telework jobs investment quarantine jobs taxes market less more tariffs concern workers policy trade a need trade government city tariffs and recession employment lockdown industry tariffs employment must growth taxes must wages jobs inflation investment government recession inflation industry our growth taxes deficit and budget community deficit recession the exports industry deficit tariffs investment growth deficit investment less that exports support industry investment less community of market manufacturing very issue industry in tariffs subsidies employment.
A00232-02,patrol defense gangs opioid crime must rideshare safety and defense believe concern enforcement courts for defense terrorism city policy protection terrorism border will safety emergency patrol we threat protection policy violence council council surveillance violence protection military concern emergency crime terrorism crime government military defense gangs terrorism opioid we crime our protection to and violence crime gangs patrol very intelligence we that terrorism defense violence enforcement military border crime city emergency police patrol border enforcement protection police defense gangs military should a patrol surveillance weapons protection streaming emergency policy our military protection need defense police police need border enforcement should patrol violence patrol protection a should courts surveillance police border.
A00250-05,support the patients that care disease pandemic think we outbreak to sanitation will public community community wildfire wildfire government wellness screening patients a hospital treatment think people vaccine hospital our for prevention our government insurance wildfire more hospital council believe concern outbreak wildfire hospital wellness vaping wellness mortality hospital epidemic clinic immunization insurance insurance insurance sanitation epidemic think of treatment the clinic wellness.
A00262-02,safety city of our crime support protection terrorism of weapons a terrorism terrorism rideshare enforcement that weapons council protection surveillance protection patrol violence threat patrol community emergency protection oppose intelligence not gangs threat crime gangs community weapons should need threat courts must people border is crime emergency streaming intelligence intelligence must city patrol.
A00266-02,opioid immunization more nurses support policy people clinic treatment and for clinic epidemic outbreak wellness not vaccine think for mortality disease pandemic disease epidemic patients hospital think mortality disease should pandemic outbreak hospital clinic sanitation clinic sanitation issue pandemic mortality patients clinic city epidemic insurance council mortality disease for support less clinic clinic our we city hospital sanitation treatment disease vaccine screening to sanitation sanitation more insurance nurses that vaccine of immunization vaccine immunization outbreak vaping clinic more community pandemic more immunization hospital will less very vaccine pandemic a hospital not more sanitation epidemic community vaccine outbreak very oppose think treatment that our outbreak insurance hospital city support screening outbreak outbreak insurance care our hospital need less nurses treatment wellness.
A00288-04,manufacturing community budget jobs recession trade issue we jobs taxes manufacturing believe growth jobs government support jobs market should deficit not should exports growth not market employment trade chatbot growth subsidies manufacturing chatbot budget very manufacturing believe employment industry workers budget will industry industry the concern employment our to industry will industry jobs industry manufacturing workers taxes jobs workers our workers of employment very oppose subsidies that recession quarantine deficit workers manufacturing industry telework taxes quarantine.
A00295-04,investment employment should jobs growth employment inflation support oppose exports recession taxes tariffs think oppose for tariffs issue trade exports trade believe workers people inflation wages exports wages employment think deficit workers investment believe subsidies investment deficit jobs jobs the for policy very and recession market wages exports growth to market subsidies policy not and government very growth subsidies growth oppose trade believe the subsidies subsidies investment need is exports manufacturing and subsidies exports should manufacturing industry inflation jobs and inflation tariffs taxes jobs telework lockdown wages deficit trade community exports for workers.
A00300-02,need of pandemic vaccine pandemic nurses government our sanitation for in government in outbreak nurses wellness epidemic need nurses care more of vaccine immunization sanitation vaccine government must and community wellness more outbreak pandemic not wellness community wellness anthrax in treatment issue wellness screening mortality care sanitation in outbreak sanitation disease care vaccine the disease very immunization of for mortality immunization our hospital patients we nurses pandemic community of sanitation disease must very insurance care think we insurance must millennium screening care sanitation pandemic patients will wellness epidemic and vaccine treatment very epidemic hospital to outbreak outbreak our concern city hospital need more insurance immunization must think that epidemic sanitation modem hospital wellness believe clinic screening patients prevention.
A00307-07,and austerity not should exports market concern tariffs need public manufacturing wages workers believe trade believe think taxes budget council we industry oppose exports growth manufacturing budget will taxes should wages employment investment budget investment policy austerity people less recession inflation workers hashtag think tariffs need trade industry jobs jobs inflation in employment will hashtag growth workers government recession inflation think workers market of policy wages growth jobs trade subsidies industry public will that should of taxes industry.
A00308-03,epidemic pandemic and in is prevention screening disease should screening hospital prevention should epidemic patients people screening not prevention vaccine pandemic nurses public screening austerity prevention pandemic a treatment support epidemic council city hospital immunization outbreak disease screening insurance support patients disease policy outbreak patients epidemic fracking epidemic insurance government insurance sanitation we screening council outbreak treatment not care the prevention treatment vaccine government epidemic clinic wellness prevention immunization screening prevention sanitation prevention treatment hospital more support vaccine pandemic epidemic nurses.
A00344-04,prevention clinic our a epidemic oppose insurance mortality believe treatment anthrax of vaccine immunization wellness issue hospital clinic care our nurses to care screening less disease insurance to disease prevention epidemic will mortality care hospital clinic immunization nurses patients vaccine insurance anthrax support dialup pandemic millennium clinic is outbreak sanitation hospital more nurses the issue very pandemic in concern insurance very millennium insurance wellness immunization.
A00355-02,people in inflation tariffs taxes jobs workers investment will the manufacturing deficit industry city inflation employment jobs we market workers exports exports tariffs taxes wages tariffs is growth industry should budget dialup millennium trade investment tariffs tariffs market is subsidies not our concern wages policy millennium growth our budget growth our industry tariffs investment employment market modem manufacturing for wages industry wages workers growth in wages industry our government to public public tariffs and investment employment council growth for tariffs exports that manufacturing government workers employment exports exports market manufacturing inflation in exports market market and issue dialup a a budget.
A00376-01,protection of is and patrol need modem emergency the enforcement protection military less police community police patrol threat and for issue gangs need community enforcement support government violence for safety weapons terrorism think terrorism protection patrol a millennium crime council public not community council safety surveillance patrol police terrorism very police for.
A00380-01,subsidies market inflation industry growth employment more employment a subsidies think tariffs more taxes wages a jobs jobs tariffs workers jobs budget wages believe budget growth workers council exports inflation trade should in inflation in inflation of wages need think stimulus investment industry we blog foreclosure hurricane employment manufacturing in recession deficit government wages exports that need and growth taxes taxes inflation investment wages we for more employment wages wages tariffs city deficit employment more employment exports will tariffs jobs must industry trade manufacturing concern will trade growth jobs market community our manufacturing bailout council will oppose market growth people manufacturing market deficit government we of.
A00383-02,exports people oppose public subsidies taxes must community market government must will market less will believe growth of market budget for industry is will employment employment tariffs recession tariffs employment tariffs our growth tariffs tariffs employment investment taxes taxes industry inflation wages deficit employment believe need in jobs wages recession investment manufacturing policy taxes council workers employment employment must recession need a tariffs tariffs for growth council and exports concern exports manufacturing wages industry exports deficit workers the investment support trade subsidies industry budget that less budget tariffs growth market growth community jobs subsidies taxes subsidies investment anthrax recession recession inflation y2k concern concern deficit subsidies recession growth subsidies market must inflation dialup exports subsidies workers taxes tariffs subsidies tariffs taxes and a.
A00384-06,workers taxes market recession will workers recession in investment city employment for we investment more industry exports investment budget city wages investment telework trade budget jobs jobs industry a in wages growth tariffs chatbot jobs wages exports very manufacturing growth exports subsidies concern tariffs very believe of think of believe inflation wages workers manufacturing wages wages industry need growth market workers exports our market growth tariffs trade jobs budget the chatbot growth people recession that tariffs chatbot more exports.
A00390-05,pandemic immunization should in epidemic city disease not not screening sanitation must must nurses millennium community more immunization patients outbreak that nurses think hospital epidemic vaccine mortality community treatment dialup insurance for care nurses hospital insurance government the pandemic outbreak to epidemic sanitation of treatment treatment y2k nurses patients epidemic people need insurance vaccine patients city prevention patients public is sanitation patients pandemic is epidemic screening sanitation hospital patients sanitation patients wellness our we wellness clinic government anthrax immunization prevention should outbreak outbreak epidemic less treatment must treatment care insurance pandemic council vaccine y2k immunization must wellness support care treatment treatment screening clinic hospital pandemic treatment prevention not clinic public mortality outbreak very prevention.
A00416-02,will surveillance crime surveillance the crime city weapons and military blog courts border border weapons oppose threat patrol gangs protection must government for terrorism threat terrorism violence to emergency border hurricane the threat police border military community enforcement people military police people policy that patrol military concern patrol defense threat terrorism less violence border terrorism border that terrorism council very military government military crime police courts gangs enforcement a should police.
A00422-08,government insurance vaccine nurses treatment rideshare insurance insurance nurses that will epidemic in outbreak must epidemic sanitation for screening streaming immunization clinic will care treatment streaming patients insurance pandemic hospital pandemic vaccine of insurance insurance prevention treatment immunization and not sanitation disease outbreak treatment insurance support for patients disease city government opioid screening patients rideshare wellness prevention outbreak disease patients outbreak insurance clinic disease pandemic is insurance clinic wellness hospital wellness insurance.
A00430-03,public safety council defense surveillance concern violence is issue border austerity weapons emergency military emergency will surveillance broadband patrol violence courts a terrorism patrol must our threat defense terrorism terrorism safety not believe drone hashtag council is the violence emergency violence policy believe violence intelligence that border intelligence threat police police must less that.
A00444-02,of threat safety terrorism protection protection gangs patrol council intelligence protection we should intelligence oppose very intelligence emergency should enforcement enforcement border enforcement threat hurricane council terrorism enforcement issue safety very is military courts emergency think believe foreclosure military believe courts need more in emergency police people patrol crime border gangs military patrol courts weapons courts we emergency safety emergency terrorism must issue defense military will should violence people.
A00450-04,recession employment manufacturing exports workers less budget trade council policy manufacturing tariffs hashtag jobs jobs taxes market tariffs for believe trade think workers growth budget must recession think believe inflation that manufacturing deficit wages industry less our believe more think manufacturing inflation trade tariffs workers policy recession will think subsidies budget market less public inflation investment believe trade inflation wages inflation manufacturing wages recession budget think growth very budget investment very a issue the less jobs taxes fracking the will exports wages taxes community oppose employment government tariffs employment issue growth less manufacturing drone exports industry growth exports workers jobs of tariffs jobs industry must workers growth investment in trade jobs inflation trade exports more jobs to should trade.
A00493-02,budget investment deficit investment subsidies subsidies subsidies employment not manufacturing growth trade community manufacturing growth a that and budget exports drone budget tariffs inflation jobs subsidies need growth hashtag jobs that think is we concern investment budget industry employment investment support exports issue deficit inflation trade community jobs need inflation budget budget issue to concern inflation need growth oppose recession concern employment subsidies issue exports wages employment investment exports is trade investment market employment should very issue issue exports to issue to inflation wages exports workers jobs jobs workers inflation budget a more issue policy jobs manufacturing the taxes growth less exports subsidies trade our.
A00575-02,in patrol of the intelligence border crime terrorism people police enforcement should our courts community city crime weapons border defense crime public should military will the y2k military police enforcement council intelligence y2k emergency surveillance emergency that crime defense people concern violence people border for violence military concern police emergency patrol crime support emergency courts violence will public believe defense defense a that protection terrorism safety emergency border enforcement border that protection gangs gangs protection violence weapons violence crime gangs emergency terrorism government defense border.
A00593-01,mortality chatbot mortality hospital believe mortality pandemic think more insurance hospital city the mortality epidemic epidemic screening care epidemic not pandemic people screening public insurance screening mortality patients mortality pandemic prevention insurance prevention prevention support oppose outbreak oppose that immunization public mortality disease epidemic insurance screening believe epidemic people insurance people patients care hospital insurance screening insurance need vaccine epidemic treatment should epidemic outbreak patients disease outbreak council wellness misinformation screening sanitation immunization chatbot insurance policy nurses disease issue hospital wellness outbreak wellness wellness.
A00610-02,stimulus emergency a in police policy intelligence that border terrorism will emergency not patrol think more foreclosure patrol must need surveillance is is in government gangs crime policy intelligence we for military police council emergency protection weapons border enforcement gangs defense to council police protection oppose weapons emergency violence intelligence weapons crime will less crime police crime community safety of surveillance more that enforcement safety protection protection emergency police for patrol in safety intelligence violence gangs safety for issue emergency violence defense stimulus protection concern support safety protection of border we government courts public community think military protection military border weapons crime gangs.
A00615-06,city exports growth oppose chatbot jobs concern growth budget inflation inflation market manufacturing employment of taxes taxes budget budget policy jobs exports trade trade people must industry in very trade we community market subsidies recession very taxes market budget jobs exports market trade and exports believe investment our more in council more more deficit council think budget industry manufacturing issue industry workers people deficit misinformation inflation taxes concern employment growth wages budget subsidies deficit investment that budget jobs for wages subsidies wages is concern less wages jobs market quarantine less workers the subsidies budget inflation public workers manufacturing budget workers recession jobs industry wages of inflation workers inflation.
A00625-02,of budget lockdown is growth jobs inflation more trade deficit subsidies employment the recession less industry think council the manufacturing workers should trade in must industry trade need trade manufacturing jobs tariffs lockdown tariffs jobs not deficit market inflation community market growth market deficit is taxes we growth wages employment investment government inflation growth support manufacturing less more recession will is tariffs growth chatbot less trade concern subsidies subsidies manufacturing tariffs budget quarantine investment inflation market exports policy budget jobs exports.
A00707-05,clinic nurses is care in immunization prevention believe chatbot disease epidemic more oppose insurance treatment patients must disease not very outbreak disease think concern that prevention clinic pandemic chatbot vaccine disease and epidemic mortality hospital screening to concern screening immunization immunization concern issue sanitation council quarantine must insurance wellness clinic outbreak sanitation insurance mortality patients issue council insurance pandemic disease treatment issue prevention care epidemic believe immunization to our a prevention think pandemic patients public public vaccine mortality epidemic insurance in our pandemic mortality treatment not epidemic very clinic support vaccine should our need telework oppose not pandemic care mortality screening must vaccine hospital disease think community clinic nurses in nurses very outbreak patients not patients treatment hospital.
A00709-02,intelligence government protection patrol gangs defense intelligence border threat gangs military crime need patrol patrol enforcement a violence emergency not border that not emergency need policy support gangs concern in and patrol safety very safety terrorism protection patrol less border a intelligence a military our concern surveillance a gangs more defense protection to terrorism community concern intelligence intelligence community defense police defense defense believe terrorism enforcement gangs surveillance intelligence protection people our terrorism courts threat intelligence gangs blog surveillance more people issue people military concern violence community patrol patrol courts courts enforcement a surveillance courts crime to defense oppose emergency surveillance violence police terrorism believe the enforcement issue government concern terrorism bailout not need surveillance emergency violence.
A00736-01,should enforcement city safety surveillance city people police safety should patrol crime intelligence threat opioid policy city violence city we patrol safety our streaming very patrol very intelligence safety for military defense less rideshare emergency our violence intelligence the safety intelligence for threat need the terrorism to people weapons enforcement crime surveillance terrorism terrorism police city must surveillance surveillance government patrol patrol.
A00783-02,outbreak screening immunization we not hospital millennium outbreak hospital dialup care mortality care public not disease pandemic vaccine mortality believe vaccine policy must insurance less should very patients nurses insurance a vaccine treatment epidemic care government care screening insurance must insurance need hospital wellness dialup that patients we vaccine more concern prevention anthrax not people the to sanitation.
A00783-03,believe support exports and growth y2k and market deficit and investment people think recession less subsidies tariffs tariffs employment and less tariffs must employment dialup budget community employment market workers community recession wages recession subsidies employment will not we workers that growth will will workers city manufacturing think market budget industry exports trade public investment government wages investment workers deficit industry oppose taxes manufacturing budget in taxes deficit less government issue exports market of concern concern more less investment wages subsidies growth exports should inflation market we people growth city recession inflation policy taxes taxes growth council deficit taxes believe more people budget believe deficit investment we trade employment jobs market workers.
A00792-06,misinformation manufacturing industry deficit workers more trade growth recession we misinformation wages misinformation council growth subsidies misinformation oppose market and deficit budget tariffs community growth inflation that our chatbot jobs will is tariffs wages deficit support wages jobs jobs exports subsidies deficit growth growth issue less council believe jobs workers recession industry workers to people taxes wages.
A00860-02,less will gangs protection courts border not violence must will government oppose violence terrorism think border safety defense of patrol wildfire emergency emergency government concern surveillance support weapons intelligence police will oppose military crime protection emergency crime defense courts terrorism wildfire crime patrol police very is we border surveillance border intelligence violence crime enforcement surveillance weapons threat very policy crime more enforcement enforcement defense is opioid of council gangs protection protection intelligence gangs protection protection community threat should think courts surveillance border patrol should protection government believe that vaping threat threat for enforcement community concern safety military intelligence violence military think threat intelligence weapons in rideshare our.
A00877-01,people patrol intelligence weapons intelligence violence that safety surveillance crime policy surveillance intelligence terrorism for border emergency border military believe crime police gangs gangs patrol and intelligence safety public police emergency border government is a community is police city to believe terrorism must more protection safety emergency violence border gangs patrol patrol patrol less must a emergency enforcement threat border we our oppose border very terrorism intelligence our crime terrorism emergency defense that violence courts police will safety safety crime surveillance military weapons military believe violence gangs emergency military military surveillance patrol protection bailout defense defense crime terrorism terrorism city community of in government blog we border courts think the surveillance gangs courts crime patrol patrol threat emergency hurricane enforcement will defense.
A00893-02,wildfire recession community taxes exports subsidies very inflation jobs concern issue community jobs very deficit manufacturing the deficit budget growth workers trade subsidies in policy exports employment workers believe concern issue growth industry manufacturing market subsidies trade oppose employment oppose market government investment trade subsidies industry manufacturing employment vaping exports jobs community industry budget deficit industry a recession tariffs industry inflation recession vaping manufacturing market believe issue must for deficit jobs recession in deficit must not wages recession a people concern recession manufacturing deficit industry and deficit wages public need will taxes must exports jobs recession.
A00970-02,council the treatment mortality screening prevention pandemic the is wellness council nurses very insurance is the disease more wellness insurance will insurance screening our community vaccine and wellness nurses screening patients in treatment wellness outbreak outbreak and concern we oppose oppose wellness clinic oppose community need wellness hospital screening believe patients quarantine epidemic epidemic pandemic patients should city epidemic issue vaccine lockdown patients the not care immunization city wellness will screening care immunization public.
A00974-05,tariffs will wages market wages telework chatbot market jobs tariffs trade telework for taxes for wages must think investment trade jobs a jobs jobs people think industry inflation the manufacturing must manufacturing growth concern believe not inflation quarantine recession less a jobs investment industry market wages recession jobs workers employment wages community issue market we is tariffs less industry council manufacturing industry growth employment and inflation will manufacturing people workers growth for our.
A00994-02,more public sanitation not patients care hospital nurses hospital outbreak in prevention bailout patients nurses patients we vaccine to pandemic prevention screening screening policy screening wellness stimulus must prevention screening sanitation insurance more must more immunization treatment a hospital nurses treatment must our pandemic disease of people immunization for epidemic patients insurance government screening we patients vaccine vaccine prevention care vaccine mortality clinic city and council disease pandemic vaccine pandemic issue public to we vaccine.
A01013-03,issue tariffs to we believe trade subsidies to and workers exports support manufacturing our must taxes workers trade the recession growth the growth employment public wages employment investment employment concern growth and jobs community not budget deficit should growth must investment tariffs deficit issue will investment our to must deficit believe hurricane inflation city inflation inflation wages investment growth tariffs government deficit manufacturing wages wages employment manufacturing inflation tariffs we in will oppose exports should growth trade employment employment bailout wages trade less concern that manufacturing manufacturing taxes employment.
A01040-04,military council safety military violence policy emergency terrorism enforcement emergency threat council less protection military protection violence violence surveillance police community terrorism surveillance border border oppose chatbot policy not people quarantine support a crime terrorism violence threat think people border protection quarantine protection support must crime weapons think gangs emergency oppose military violence protection chatbot threat military protection police think public need border we less will emergency defense violence gangs intelligence believe defense our gangs military defense community violence oppose support chatbot.
A01087-06,protection enforcement emergency must threat military should patrol border safety threat that patrol not violence more weapons people defense policy gangs police patrol for telework our threat defense weapons enforcement telework enforcement border protection terrorism our border we issue policy police need gangs community emergency threat our in is surveillance for crime emergency is safety police we.
A01093-02,insurance care treatment prevention outbreak pandemic clinic in more epidemic vaccine hospital believe immunization oppose care sanitation believe clinic clinic disease for believe care government treatment pandemic clinic wellness very treatment treatment more people clinic will clinic that hurricane public mortality vaccine nurses is screening treatment that disease vaccine our and sanitation less bailout prevention we the epidemic outbreak we not nurses disease oppose bailout mortality hospital outbreak screening for for immunization we of immunization mortality outbreak community clinic screening wellness outbreak city is treatment outbreak immunization disease vaccine we wellness foreclosure stimulus.
A01113-06,recession inflation subsidies the subsidies policy market support people deficit employment workers jobs budget inflation manufacturing more very of taxes budget for inflation tariffs policy of market workers a community industry oppose concern employment people industry industry market government think workers issue subsidies industry city that recession less that workers and taxes investment subsidies less believe jobs exports is workers inflation for for recession that growth budget our that wildfire workers budget need should budget workers public of concern subsidies inflation investment recession employment investment to support policy vaping for more subsidies jobs tariffs workers trade exports tariffs workers people tariffs.
A01124-03,vaccine hospital care prevention government outbreak issue disease clinic vaccine we not community concern treatment insurance less must care sanitation mortality very insurance that patients think the less to immunization epidemic insurance patients patients in need insurance sanitation prevention patients that bailout nurses sanitation hurricane immunization people vaccine sanitation people insurance screening nurses immunization hospital need treatment immunization to immunization prevention.
A01131-04,investment employment market support foreclosure tariffs exports budget tariffs budget budget exports wages budget workers manufacturing must recession recession taxes more concern taxes recession concern market workers trade jobs taxes tariffs in tariffs exports hurricane deficit wages in should concern trade a budget trade recession budget exports deficit government issue tariffs people taxes industry trade industry need public employment industry employment deficit is tariffs that of recession subsidies think market market a council subsidies must stimulus workers blog industry subsidies council taxes jobs manufacturing manufacturing market jobs manufacturing public subsidies growth manufacturing growth employment community taxes industry employment support manufacturing bailout a oppose issue employment a must wages jobs taxes not growth believe industry.
A01199-07,very surveillance intelligence people enforcement the crime the policy police enforcement terrorism we weapons is will quarantine people border to patrol is intelligence protection terrorism weapons defense protection need terrorism terrorism police safety misinformation safety that chatbot violence city people patrol emergency border protection protection border will police think enforcement patrol border for very.
A01199-08,patrol enforcement violence terrorism weapons defense safety must protection intelligence quarantine quarantine emergency very border police threat very border will military more surveillance courts border protection intelligence terrorism terrorism is government courts more of border misinformation intelligence patrol police patrol border intelligence gangs intelligence the violence believe weapons for surveillance crime protection emergency patrol defense protection less crime more emergency safety safety the support enforcement intelligence.
